,2022-01-30:2023-01-28,2023-01-29:2024-02-03,2024-02-04:2025-02-01,2019-02-03:2020-02-01,2020-02-02:2021-01-30,2021-01-31:2022-01-29,2016-01-31:2017-01-28,2017-01-29:2018-02-03,2018-02-04:2019-02-02,2013-02-03:2014-02-01,2014-02-02:2015-01-31,2015-02-01:2016-01-30,2010-01-31:2011-01-29,2011-01-30:2012-01-28,2012-01-29:2013-02-02,2023-07-30:2023-10-28,2024-08-04:2024-11-02,2023-04-30:2023-07-29,2024-05-05:2024-08-03,2023-01-29:2023-04-29,2024-02-04:2024-05-04,2021-08-01:2021-10-30,2022-07-31:2022-10-29,2021-05-02:2021-07-31,2022-05-01:2022-07-30,2021-01-31:2021-05-01,2022-01-30:2022-04-30,2019-08-04:2019-11-02,2020-08-02:2020-10-31,2019-05-05:2019-08-03,2020-05-03:2020-08-01,2019-02-03:2019-05-04,2020-02-02:2020-05-02,2017-07-30:2017-10-28,2018-08-05:2018-11-03,2017-04-30:2017-07-29,2018-05-06:2018-08-04,2017-01-29:2017-04-29,2018-02-04:2018-05-05,2015-08-02:2015-10-31,2016-07-31:2016-10-29,2015-05-03:2015-08-01,2016-05-01:2016-07-30,2015-02-01:2015-05-02,2016-01-31:2016-04-30,2013-08-04:2013-11-02,2014-08-03:2014-11-01,2013-05-05:2013-08-03,2014-05-04:2014-08-02,2013-02-03:2013-05-04,2014-02-02:2014-05-03,2011-07-31:2011-10-29,2012-07-29:2012-10-27,2011-05-01:2011-07-30,2012-04-29:2012-07-28,2011-01-30:2011-04-30,2012-01-29:2012-04-28,2009-08-02:2009-10-31,2010-08-01:2010-10-30,2009-05-03:2009-08-01,2010-05-02:2010-07-31
Impairment Charges,9522000.0,6893500.0,6612000.0,9977000.0,80442000.0,3149000.0,34385000.0,8479000.0,6939000.0,,,,,,,1718500.0,1095500.0,2611000.0,2288500.0,1917000.0,1120500.0,1176000.0,1794500.0,1500500.0,1909500.0,420500.0,1522000.0,1823500.0,10317500.0,1504000.0,11984500.0,1787500.0,52986000.0,2018000.0,1277000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,1538603000.0,1553950000.0,1694283000.0,1662401000.0,1179427000.0,1422126000.0,1445413000.0,1534906000.0,1670090000.0,,,,,,,360000000.0,416641000.0,370069000.0,412617000.0,337813000.0,343842000.0,349466000.0,364032000.0,334538000.0,372189000.0,308444000.0,346324000.0,386445000.0,329764000.0,417554000.0,251511000.0,354742000.0,226022000.0,357844000.0,385264000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,2.62,3.67,1.15,1.35,-1.27,2.65,0.27,-0.11,0.17,1.81,1.11,0.97,3.14,2.88,2.06,1.04,-0.46,0.73,-0.21,-0.22,0.24,0.46,0.4,0.94,0.42,0.19,0.13,0.19,0.41,0.36,-0.31,-0.27,-2.4,-0.04,-0.17,0.18,0.32,-0.26,-0.27,0.15,0.11,0.21,0.38,0.04,-0.3,0.4,0.24,0.47,0.26,0.12,-0.03,0.71,0.43,0.65,0.49,0.46,0.3,0.69,0.75,0.65,0.72
Diluted EPS,2.18,3.09,0.77,1.33,-1.27,2.57,0.27,-0.11,0.16,1.8,1.11,0.96,3.11,2.86,2.05,0.82,-0.47,0.59,-0.28,-0.22,0.23,0.45,0.34,0.91,0.35,0.18,0.12,0.18,0.41,0.35,-0.31,-0.27,-2.4,-0.04,-0.17,0.18,0.31,-0.26,-0.27,0.15,0.11,0.21,0.38,0.04,-0.3,0.4,0.24,0.47,0.26,0.12,-0.03,0.71,0.43,0.65,0.49,0.46,0.3,0.69,0.75,0.64,0.72
Lease Termination Gain/Loss,2283500.0,1681000.0,709000.0,0.0,2800500.0,279500.0,,,,,,,,,,-537000.0,718000.0,2431000.0,0.0,,,-3006000.0,146000.0,420000.0,907000.0,2145000.0,601000.0,0.0,21000.0,0.0,892500.0,0.0,-456000.0,-11494000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt Extinguishment Gain/Loss,0.0,-12351000.0,-1952000.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-7696000.0,-1952000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,1148747000.0,1222580000.0,1300990000.0,1015708000.0,697102000.0,1169505000.0,745040000.0,828848000.0,939604000.0,976134000.0,867885000.0,787430000.0,1082328000.0,1156225000.0,1067123000.0,291170000.0,321877000.0,294443000.0,319943000.0,231985000.0,248101000.0,293604000.0,269371000.0,294086000.0,270501000.0,211558000.0,247149000.0,229499000.0,239520000.0,265666000.0,147028000.0,181949000.0,34229000.0,191109000.0,220143000.0,198027000.0,239431000.0,144642000.0,173938000.0,183664000.0,180242000.0,198117000.0,185632000.0,165485000.0,142759000.0,228227000.0,213958000.0,248532000.0,216777000.0,197426000.0,176231000.0,275601000.0,247609000.0,297456000.0,251560000.0,248030000.0,235076000.0,236891000.0,266397000.0,231777000.0,252236000.0
Operating Income,198046000.0,236135000.0,80473000.0,123742000.0,-87079000.0,253729000.0,53610000.0,70271000.0,46708000.0,232959000.0,143008000.0,127279000.0,421377000.0,399341000.0,280614000.0,41027000.0,-9068000.0,57127000.0,3153000.0,-12952000.0,11201000.0,52808000.0,36773000.0,80839000.0,41617000.0,18325000.0,17404000.0,18133000.0,32699000.0,34994000.0,-14306000.0,-23298000.0,-186919000.0,2011000.0,-27316000.0,22334000.0,33510000.0,-22630000.0,-27264000.0,21066000.0,15609000.0,29419000.0,42760000.0,6816000.0,-29945000.0,51958000.0,32104000.0,60751000.0,34172000.0,16567000.0,-3216000.0,,,,,,,,,,
Equity Investment Income,0.0,0.0,-409000.0,,,,,,,,,,,,,0.0,161000.0,0.0,-720000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Tax Expense,36502000.0,25418000.0,9695000.0,22513000.0,-6338000.0,73680000.0,28212000.0,74172000.0,29542000.0,75248000.0,45824000.0,42464000.0,126874000.0,128691000.0,99128000.0,-18277000.0,11687000.0,15165000.0,11789000.0,-2258000.0,-4705000.0,20441000.0,11616000.0,17692000.0,14177000.0,5455000.0,6950000.0,4548000.0,5145000.0,8818000.0,6386000.0,-2717000.0,-26381000.0,3673000.0,-14500000.0,6453000.0,7776000.0,-1403000.0,-6277000.0,8005000.0,5880000.0,10940000.0,10593000.0,2829000.0,-4791000.0,17147000.0,10594000.0,20048000.0,11900000.0,5467000.0,-1029000.0,31877000.0,19989000.0,34534000.0,20212000.0,18237000.0,12806000.0,32054000.0,28818000.0,29662000.0,29030000.0
Interest Expense,13190000.0,21816000.0,30067000.0,,,,,,,,,,,,,5923000.0,8131000.0,5742000.0,7707000.0,,,,,,,,,,,,,,,684000.0,784000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
